                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    118,                 0.9916,                0.61644,                 1.0574,                0.87461,                0.88389,                0.89464,                0.59234,                 1.1177,                 0.7351,                 1.1748,              0.0010467,              0.0010467,              0.0010467
                    119,                0.96925,                0.59107,                 1.0388,                0.92217,                0.84715,                0.91064,                 0.6113,                 1.1662,                0.71456,                 1.1717,              0.0010461,              0.0010461,              0.0010461
                    120,                0.97337,                0.62746,                 1.0301,                0.94904,                0.84192,                0.93768,                0.60752,                 1.1904,                0.71135,                 1.1922,              0.0010456,              0.0010456,              0.0010456
                    121,                 0.9627,                0.62497,                 1.0343,                0.93578,                0.81065,                0.89269,                0.57809,                 1.1456,                0.72763,                 1.1961,               0.001045,               0.001045,               0.001045
                    122,                0.93738,                0.60839,                 1.0287,                0.89563,                0.86798,                0.92501,                0.59322,                 1.2086,                0.72291,                 1.2519,              0.0010445,              0.0010445,              0.0010445
                    123,                0.94506,                0.57028,                 1.0336,                0.85788,                 0.8405,                0.89962,                0.60987,                 1.1657,                0.74792,                  1.195,              0.0010439,              0.0010439,              0.0010439
                    124,                0.93422,                0.61793,                 1.0016,                0.88898,                0.87105,                0.91872,                 0.5976,                 1.2176,                0.77506,                 1.2201,              0.0010434,              0.0010434,              0.0010434
                    125,                0.99593,                0.61867,                 1.0482,                0.87693,                0.83863,                0.91219,                0.61655,                 1.1476,                0.70833,                 1.1977,              0.0010428,              0.0010428,              0.0010428
                    126,                0.99274,                0.65387,                 1.0296,                 0.8846,                0.84073,                0.89724,                 0.6202,                 1.1143,                0.72815,                 1.1946,              0.0010423,              0.0010423,              0.0010423
                    127,                0.99359,                0.62436,                 1.0241,                0.84933,                0.87209,                0.92148,                0.60192,                 1.2227,                0.71081,                 1.2112,              0.0010417,              0.0010417,              0.0010417
                    128,                0.92541,                0.59172,                 1.0149,                0.91262,                0.90408,                0.93519,                0.62142,                 1.1589,                 0.7143,                 1.1925,              0.0010412,              0.0010412,              0.0010412
                    129,                 1.0176,                 0.6379,                 1.0659,                0.91787,                0.90007,                 0.9274,                0.61108,                 1.1319,                0.67831,                 1.1674,              0.0010406,              0.0010406,              0.0010406
                    130,                0.93234,                0.59092,                0.99317,                0.92271,                0.83795,                0.92288,                0.60845,                 1.1663,                 0.6958,                 1.2179,              0.0010401,              0.0010401,              0.0010401
                    131,                0.95148,                 0.5819,                 1.0126,                0.89753,                0.91192,                0.94571,                0.61319,                 1.1691,                0.68371,                 1.2462,              0.0010395,              0.0010395,              0.0010395
                    132,                0.96049,                0.58616,                 1.0338,                0.84619,                0.90954,                0.93133,                0.60252,                 1.1327,                0.69658,                 1.1935,               0.001039,               0.001039,               0.001039
                    133,                0.94717,                0.58169,                  1.025,                 0.8608,                0.86183,                0.90839,                0.59502,                 1.1188,                0.76922,                  1.207,              0.0010384,              0.0010384,              0.0010384
                    134,                0.91637,                0.56402,                 1.0127,                0.84168,                0.87769,                0.91233,                0.60368,                 1.1094,                0.68953,                 1.1698,              0.0010379,              0.0010379,              0.0010379
                    135,                0.93726,                0.57842,                 1.0139,                0.94119,                0.88681,                0.95248,                0.64371,                 1.1348,                0.66193,                 1.1853,              0.0010373,              0.0010373,              0.0010373
                    136,                0.93071,                0.58392,                 1.0273,                0.85777,                0.87454,                0.91701,                0.65209,                 1.0802,                0.68285,                 1.1289,              0.0010368,              0.0010368,              0.0010368
                    137,                0.90812,                0.56392,                  1.023,                  0.836,                0.87559,                0.89559,                0.62388,                 1.1083,                0.72802,                 1.1822,              0.0010362,              0.0010362,              0.0010362
                    138,                0.92838,                0.58372,                 1.0161,                0.91878,                0.85317,                0.91551,                0.60162,                 1.1628,                0.66844,                 1.1897,              0.0010357,              0.0010357,              0.0010357
                    139,                0.97784,                0.59066,                 1.0327,                0.92822,                0.87404,                0.92283,                0.64946,                 1.0414,                0.70742,                  1.124,              0.0010351,              0.0010351,              0.0010351
                    140,                0.92634,                0.57482,                 1.0152,                0.91568,                0.85883,                0.90183,                 0.6105,                 1.1484,                0.70034,                 1.1912,              0.0010346,              0.0010346,              0.0010346
                    141,                  0.924,                0.55279,                 1.0173,                0.94136,                0.84446,                0.92785,                0.66063,                 1.0798,                0.73466,                 1.1593,               0.001034,               0.001034,               0.001034
                    142,                 0.9496,                0.56682,                 1.0097,                0.93632,                0.85509,                0.93762,                0.64546,                 1.0802,                0.65438,                 1.1508,              0.0010335,              0.0010335,              0.0010335
                    143,                0.93202,                0.54511,                 1.0083,                0.93781,                0.87277,                0.93433,                0.63828,                   1.11,                 0.6369,                 1.1736,              0.0010329,              0.0010329,              0.0010329
                    144,                0.92541,                0.56107,                 1.0141,                 0.9523,                0.85636,                0.94486,                 0.6203,                 1.0796,                0.71074,                 1.1299,              0.0010324,              0.0010324,              0.0010324
                    145,                0.91483,                0.57881,                  1.033,                0.93154,                0.88954,                0.94567,                0.62252,                 1.1571,                0.61645,                 1.1876,              0.0010318,              0.0010318,              0.0010318
                    146,                0.93314,                0.55916,                 1.0037,                0.95403,                0.88693,                0.94128,                0.63627,                 1.0827,                0.61086,                 1.1479,              0.0010313,              0.0010313,              0.0010313
                    147,                0.93464,                0.54894,                 1.0414,                0.91931,                0.85395,                0.92894,                0.64942,                 1.0323,                0.64107,                 1.1427,              0.0010307,              0.0010307,              0.0010307
