               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 119,            0.031453,           0.0086541,           0.0036576,             0.92958,             0.94655,             0.96685,             0.50775,            0.034068,            0.006449,           0.0026431,           0.0088318,           0.0088318,           0.0088318
                 120,            0.032869,           0.0089105,           0.0038074,             0.95797,             0.91107,             0.95875,             0.58742,            0.030015,           0.0065176,            0.002479,           0.0088219,           0.0088219,           0.0088219
                 121,            0.031214,           0.0083064,           0.0041244,             0.92893,             0.91081,             0.95308,              0.5396,            0.032662,           0.0065189,            0.002656,            0.008812,            0.008812,            0.008812
                 122,            0.032191,           0.0087383,           0.0037727,             0.94282,             0.89753,             0.94446,             0.53948,             0.03095,           0.0063226,           0.0050056,           0.0088021,           0.0088021,           0.0088021
                 123,            0.031153,           0.0084627,           0.0035095,             0.96665,             0.88476,             0.93948,             0.52664,            0.032225,           0.0063742,           0.0040712,           0.0087922,           0.0087922,           0.0087922
                 124,             0.03194,            0.008902,           0.0031043,             0.93901,             0.90943,              0.9527,             0.53568,            0.033241,           0.0063159,           0.0032015,           0.0087823,           0.0087823,           0.0087823
                 125,            0.032562,            0.008474,           0.0036261,             0.95851,             0.93086,               0.955,             0.50577,            0.032551,           0.0061618,           0.0032101,           0.0087724,           0.0087724,           0.0087724
                 126,            0.031994,            0.008357,           0.0030645,             0.95457,             0.90353,             0.94015,             0.55809,            0.031356,           0.0059933,           0.0029694,           0.0087625,           0.0087625,           0.0087625
                 127,            0.031923,           0.0083372,           0.0034084,             0.96957,             0.92035,             0.96086,             0.53577,            0.030972,           0.0059747,           0.0029762,           0.0087526,           0.0087526,           0.0087526
                 128,            0.031186,           0.0081566,           0.0027799,             0.98786,             0.87996,             0.95135,             0.54952,            0.030951,           0.0060867,           0.0031642,           0.0087427,           0.0087427,           0.0087427
                 129,            0.031032,           0.0085219,           0.0033639,             0.98411,             0.89702,             0.95181,             0.54881,             0.03083,           0.0064304,           0.0033854,           0.0087328,           0.0087328,           0.0087328
                 130,            0.032375,           0.0084634,           0.0034071,              0.9852,             0.91757,             0.95261,             0.53489,            0.031612,           0.0062036,           0.0028467,           0.0087229,           0.0087229,           0.0087229
                 131,            0.031335,           0.0083333,           0.0034802,              0.9418,             0.96604,             0.96505,             0.54404,            0.029406,            0.006131,           0.0025924,            0.008713,            0.008713,            0.008713
                 132,             0.03095,           0.0083712,           0.0032492,             0.95748,             0.93292,             0.94122,             0.55133,            0.030651,           0.0061264,           0.0023341,           0.0087031,           0.0087031,           0.0087031
                 133,            0.031245,           0.0089143,           0.0030039,             0.93719,              0.9425,              0.9657,             0.54349,             0.03055,           0.0062741,           0.0022362,           0.0086932,           0.0086932,           0.0086932
                 134,            0.031733,           0.0083011,           0.0031431,             0.95224,             0.96381,             0.97585,               0.574,            0.031355,           0.0062332,           0.0023518,           0.0086833,           0.0086833,           0.0086833
                 135,            0.031352,           0.0080237,           0.0029499,             0.97004,             0.95273,             0.96602,             0.59201,             0.03103,           0.0063284,           0.0023624,           0.0086734,           0.0086734,           0.0086734
                 136,            0.031313,           0.0085884,           0.0034183,             0.99018,             0.94724,             0.96227,             0.54811,               0.035,           0.0065576,             0.00247,           0.0086635,           0.0086635,           0.0086635
                 137,            0.031117,           0.0085648,           0.0032405,             0.95813,             0.95493,             0.96664,             0.58583,            0.031094,           0.0063467,           0.0021123,           0.0086536,           0.0086536,           0.0086536
                 138,            0.031114,           0.0077803,           0.0029258,              0.9704,             0.93737,             0.96483,             0.57574,            0.033027,            0.006416,           0.0020465,           0.0086437,           0.0086437,           0.0086437
                 139,            0.030316,           0.0082714,           0.0030546,             0.98988,             0.88373,             0.95785,             0.57707,            0.030608,            0.006041,           0.0019552,           0.0086338,           0.0086338,           0.0086338
                 140,             0.03011,           0.0081769,           0.0030677,             0.98381,             0.91663,             0.96272,             0.58368,            0.029571,           0.0060812,           0.0020543,           0.0086239,           0.0086239,           0.0086239
                 141,            0.030027,           0.0082196,           0.0035444,             0.94189,             0.92022,             0.95917,             0.57818,            0.030848,           0.0060223,           0.0021895,            0.008614,            0.008614,            0.008614
                 142,            0.030342,           0.0078518,           0.0033262,              0.9644,              0.9116,             0.95523,             0.56266,            0.031709,           0.0059799,           0.0030372,           0.0086041,           0.0086041,           0.0086041
                 143,            0.030202,           0.0082262,           0.0026458,             0.98993,             0.91837,             0.96722,             0.59355,            0.032972,           0.0059012,           0.0019814,           0.0085942,           0.0085942,           0.0085942
                 144,            0.029397,           0.0084377,           0.0029339,             0.95747,             0.90869,             0.96931,             0.59547,             0.03046,           0.0059058,           0.0020386,           0.0085843,           0.0085843,           0.0085843
                 145,            0.029485,           0.0076335,           0.0028763,             0.95887,             0.90678,             0.97001,             0.60147,            0.030176,           0.0059518,           0.0022784,           0.0085744,           0.0085744,           0.0085744
                 146,            0.029715,           0.0087492,           0.0025758,             0.95317,             0.89487,             0.96916,              0.5844,            0.030826,           0.0060712,           0.0025722,           0.0085645,           0.0085645,           0.0085645
                 147,             0.03011,           0.0078412,           0.0027859,             0.95386,             0.89174,             0.96651,             0.54856,            0.029516,           0.0059204,           0.0025781,           0.0085546,           0.0085546,           0.0085546
                 148,            0.030526,           0.0079311,           0.0032642,             0.97867,             0.91456,             0.96886,             0.54907,            0.031871,           0.0059256,           0.0024451,           0.0085447,           0.0085447,           0.0085447
                 149,            0.030053,           0.0079146,           0.0026194,             0.97925,             0.89244,             0.96826,             0.57971,            0.029408,           0.0059225,           0.0021764,           0.0085348,           0.0085348,           0.0085348
                 150,            0.029299,           0.0080017,           0.0027983,             0.98679,             0.90425,             0.95508,             0.58495,            0.027517,           0.0059418,           0.0020474,           0.0085249,           0.0085249,           0.0085249
